Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
4096,8,TRANSPOSITION,SEQUENTIAL,0.542058922
4096,8,SYMMETRY,SEQUENTIAL,0.190673545
4096,8,TRANSPOSITION,SEQUENTIAL,0.538133100
4096,8,SYMMETRY,SEQUENTIAL,0.188997000
4096,8,TRANSPOSITION,SEQUENTIAL,0.533993989
4096,8,TRANSPOSITION,SEQUENTIAL,0.527348116
4096,8,TRANSPOSITION,SEQUENTIAL,0.516282216
4096,8,TRANSPOSITION,SEQUENTIAL,0.503612094
4096,8,TRANSPOSITION,SEQUENTIAL,0.516286284
4096,8,TRANSPOSITION,SEQUENTIAL,0.517246053
16,8,SYMMETRY,SEQUENTIAL,0.000000760
16,8,TRANSPOSITION,SEQUENTIAL,0.000000700
16,8,SYMMETRY,SEQUENTIAL,0.000000566
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,SYMMETRY,SEQUENTIAL,0.000000454
16,8,TRANSPOSITION,SEQUENTIAL,0.000000633
16,8,SYMMETRY,SEQUENTIAL,0.000000440
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,SYMMETRY,SEQUENTIAL,0.000000454
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000663
16,8,TRANSPOSITION,SEQUENTIAL,0.000000618
16,8,TRANSPOSITION,SEQUENTIAL,0.000000633
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
32,8,SYMMETRY,SEQUENTIAL,0.000001766
32,8,TRANSPOSITION,SEQUENTIAL,0.000002429
32,8,SYMMETRY,SEQUENTIAL,0.000001706
32,8,TRANSPOSITION,SEQUENTIAL,0.000002377
32,8,SYMMETRY,SEQUENTIAL,0.000001729
32,8,TRANSPOSITION,SEQUENTIAL,0.000002399
32,8,SYMMETRY,SEQUENTIAL,0.000001669
32,8,TRANSPOSITION,SEQUENTIAL,0.000002339
32,8,SYMMETRY,SEQUENTIAL,0.000001684
32,8,TRANSPOSITION,SEQUENTIAL,0.000002407
32,8,TRANSPOSITION,SEQUENTIAL,0.000002377
32,8,TRANSPOSITION,SEQUENTIAL,0.000002414
32,8,TRANSPOSITION,SEQUENTIAL,0.000002369
32,8,TRANSPOSITION,SEQUENTIAL,0.000002384
32,8,TRANSPOSITION,SEQUENTIAL,0.000002407
64,8,SYMMETRY,SEQUENTIAL,0.000006288
64,8,TRANSPOSITION,SEQUENTIAL,0.000011273
64,8,SYMMETRY,SEQUENTIAL,0.000006236
64,8,TRANSPOSITION,SEQUENTIAL,0.000009358
64,8,SYMMETRY,SEQUENTIAL,0.000006311
64,8,TRANSPOSITION,SEQUENTIAL,0.000009418
64,8,SYMMETRY,SEQUENTIAL,0.000006288
64,8,TRANSPOSITION,SEQUENTIAL,0.000009470
64,8,SYMMETRY,SEQUENTIAL,0.000006221
64,8,TRANSPOSITION,SEQUENTIAL,0.000009358
64,8,TRANSPOSITION,SEQUENTIAL,0.000009269
64,8,TRANSPOSITION,SEQUENTIAL,0.000009328
64,8,TRANSPOSITION,SEQUENTIAL,0.000009395
64,8,TRANSPOSITION,SEQUENTIAL,0.000009358
64,8,TRANSPOSITION,SEQUENTIAL,0.000009283
128,8,SYMMETRY,SEQUENTIAL,0.000024773
128,8,TRANSPOSITION,SEQUENTIAL,0.000042766
128,8,SYMMETRY,SEQUENTIAL,0.000024602
128,8,TRANSPOSITION,SEQUENTIAL,0.000039406
128,8,SYMMETRY,SEQUENTIAL,0.000024773
128,8,TRANSPOSITION,SEQUENTIAL,0.000039123
128,8,SYMMETRY,SEQUENTIAL,0.000024647
128,8,TRANSPOSITION,SEQUENTIAL,0.000039652
128,8,SYMMETRY,SEQUENTIAL,0.000024721
128,8,TRANSPOSITION,SEQUENTIAL,0.000038862
128,8,TRANSPOSITION,SEQUENTIAL,0.000045098
128,8,TRANSPOSITION,SEQUENTIAL,0.000039540
128,8,TRANSPOSITION,SEQUENTIAL,0.000039279
128,8,TRANSPOSITION,SEQUENTIAL,0.000039451
128,8,TRANSPOSITION,SEQUENTIAL,0.000039451
256,8,SYMMETRY,SEQUENTIAL,0.000097312
